,,,,,,,Daily Price Arrival Report-30-11-2025 to 10-06-2026 for Multiple States,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,145.80,Metric Tonnes,14-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,155.20,Metric Tonnes,13-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,155.10,Metric Tonnes,12-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,190.90,Metric Tonnes,10-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,166.00,Metric Tonnes,09-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,174.70,Metric Tonnes,08-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,47.80,Metric Tonnes,07-05-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,236.10,Metric Tonnes,07-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,17.60,Metric Tonnes,06-12-2025
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,43.20,Metric Tonnes,06-05-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,142.50,Metric Tonnes,06-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,88.60,Metric Tonnes,05-05-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,81.40,Metric Tonnes,05-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,37.50,Metric Tonnes,04-05-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,97.90,Metric Tonnes,03-05-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,95.70,Metric Tonnes,03-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,26.10,Metric Tonnes,03-01-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,100.20,Metric Tonnes,02-05-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,35.50,Metric Tonnes,02-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,17.50,Metric Tonnes,02-01-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,68.00,Metric Tonnes,01-12-2025
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,37.50,Metric Tonnes,01-05-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,101.70,Metric Tonnes,01-04-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,24.59,Metric Tonnes,31-01-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,134.00,Metric Tonnes,30-05-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,73.00,Metric Tonnes,29-04-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,638.40,Metric Tonnes,28-01-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,441.40,Metric Tonnes,27-05-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,53.56,Metric Tonnes,27-02-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,441.40,Metric Tonnes,25-05-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,47.60,Metric Tonnes,23-01-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,260.00,Metric Tonnes,22-04-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,158.90,Metric Tonnes,22-01-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,245.00,Metric Tonnes,21-05-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,23.20,Metric Tonnes,20-04-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,49.00,Metric Tonnes,19-05-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,154.00,Metric Tonnes,17-12-2025
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,6.65,Metric Tonnes,17-02-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,174.00,Metric Tonnes,16-12-2025
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,50.40,Metric Tonnes,12-12-2025
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,154.00,Metric Tonnes,11-01-2026
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,460.60,Metric Tonnes,10-12-2025
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC,Cereals,Paddy(Common),B P T,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,208.00,Metric Tonnes,10-06-2026
